,snippet_x,category_id,snippet_y,filename,маркер,,Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,отрицание,позиция маркера,другое РО,жанр,,,
,"Определение С. В. Гринева является примером лаконичной и емкой характеристики термина, для него «термин - это номинативная специальная лексическая единица специального языка, применяемая для точного наименования специальных понятий» [1, с. 33].",comparison_m,"В. М. Лейчик давал следующее определение термину: «Термин -лексическая единица определенного языка для специальных целей, обозначающая общее - конкретное или абстрактное - понятие теории определенной специальной области знаний или деятельности» [2, с. 32].",ling_35.pkl,,"повтор (""определение"" - ""определение"")",нет,нет,"да (определение,термин)",нет,нет,nd,,наука,,,
,"Так, например, слова: referee I судья или basket I корзина являются полностью соотнесенными терминами, так как они дают единственное возможное значение в специальном языке спортивного комментария,",comparison_m,"в то время как flank I фланг на поле, draw I сыграть вничью или steal I перехват, являясь полисемантичными словами, предоставляют возможность выбора [4].",ling_35.pkl,в то время как,полностью; антонимы,нет,нет,"да (являться, слова",единственный-возможность выбора,нет,2,Контраст,наука,,,
,"Второй вариант перевода: Eine Fliege - klein und rege Mit 'nem guldern glanzend Bauch, Fand ganz unvermittelt auf dem Wege Eine Mnze und hob sie auf.",comparison_m,"Первый вариант перевода: Es fliegt die Fliege Suse Sum Voll Neugier in der Luft herum. Sie sieht was glnzen dort im Feld Und hebt es auf - das ist ja Geld! [9, S. 3].",ling_57.pkl,первый вариант... второй вариант,параллельные конструкции,да (первый / второй),нет,да (вариант перевода),нет,нет,both,,наука,,,
,"При этом французский переводчик сохранил рифму внутри номинации, ",comparison_m,"в то время как немецкий переводчик ограничился боле свободной формой, имитирующей производимый насекомым звук.",ling_57.pkl,в то время как,параллельные конструкции; более,сохранить -ограничить,нет,да (переводчик),нет,нет,2,Контраст,наука,,,
,В первом варианте происходит транспозиция образа: позолоченное брюхо становится блестящей денежкой: was glnzen dort im Feld - что-то блестит на поле; ,comparison_m,"в других вариантах - либо золотым отсветом - aux reflets d'or, либо сверкающим золотом брюшком -guldern glanzendBauch.",ling_57.pkl,в первом варианте... в других вариантах,"параллельные конструкции, эллипсис",нет,да (блестящий-сверкающий/золотой),да (вариант),да ( в первом-в других,нет,both,,наука,,,
в контраст,"то, что в одной культуре является базовой ценностью, ",comparison_m,"в другой может оказаться вспомогательной, и наоборот.",ling_57.pkl,в одной... в другой,параллельные конструкции; наоборот,"да *квази (базовый/вспомогательный), один другой",да являться-оказаться,нет,нет,нет,both,Контраст,наука,,,
,"Во французском тексте мы отмечаем также наличие большого числа эквивалентных соответствий. Приведем пример: Вдруг откуда ни возьмись Маленький комарик А в руке его горит Маленький фонарик [8, с. 5]. Tout coup, apparait dans l'air Un moustique; Le sabre au ct, il a l'air Hroque... [10, p. 6]. Мы констатируем, что в тексте перевода минимальное количество словарных соответствий. В результате межъязыковых трансформаций переводчик заменил фонарик саблей, а сам комарик в переводе назван героическим.",comparison_m,"Комар предстает героем и в немецком варианте сказки: «Ruhm und Ehre dem Auserwhlten, Dem Brutigam, dem Mckenhelden!» [9, S. 10]. Переводчик сохранил общий тон фрагмента - неожиданное появление комара, летящего навстречу Мухе-Цокотухе и спасающего ее.",ling_57.pkl,,минимальное соответствие,да заменил-сохранил,да,да комар-коарик,нет,нет (см. доп),nd,,наука,,,
,"Автор поясняет, что аксиологические ценности принадлежат глубинным структурам, они виртуальны,",comparison_m,а идеологические ценности актуализируются в речевой коммуникации.,ling_57.pkl,а,параллелизм,да виртуальный-актуализуется,,да (ценность),да когип (да (аксиологиечский/идеологический),нет,2,Контраст (идеологические - аксиологические),наука,,,
в контраст,"Вьетнамские студенты утверждают, что употребление в речи пословиц и поговорок свойственно в большей мере людям старшего поколения и жителям деревни, занятым коллективным трудом на рисовых полях, ",comparison_m,"в отличие от русской метафорической, образной речи не только городских улиц, но и российских СМИ.",ling_20.pkl,в отличие от,не только... но и,квази (пословиы и поговорки/метафоричсекая образная речь),нет,да речь,нет,нет,2,,наука,,,
,"Пословиц, выражающих даже сходный смысл в русской фразеологии, не обнаружено.",comparison_m,"Noi dong d nu, chong xu d sai [31] (= В медной кастрюле легко варить, некрасивым мужем легко командовать",ling_20.pkl,сходный,не,нет,нет,нет,нет,да,2,,наука,,,
