№/название текста,Id,Контекст,Ядро,№,Сателлит/Ядро-2,№,Тип отношения,Маркер,"""Доп. комп-ты"" маркера",Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,NKRYA: yes/no/nm,rusgram: yes/no/nm,verb/noun/preposition/adverb/adverbial/conjunction/lexfunc,w/mwu/nm,prim/sec/punct/nm,marker in Nuc=1/Sat=2,clause initial / clause internal/nm (marker position),sent initial /no/nm (marker position),???discontinuity,межсент/ межклауз/внутриклауз,"Отрицание, как","Отрицание, где",ana/nd,Nucl=this/that/what/nd/,Sat=this/that/what/nd/,Количество ЭДЕ в 1,Количество ЭДЕ во 2,order of nucleus: 1/2,order of sattelite,Nucl=ind/compl+ind/conv/part/nmz/N/NP,Sat=ind/compl+ind/conv/part/nmz/N/NP,жанр
1,1,"##### Этот настрой распространился не только на политическую сферу, но и на все остальные, включая искусство, прекрасное и безобразное, актуальное и старомодное. Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом,","##### Этот настрой распространился не только на политическую сферу, но и на все остальные, включая искусство, прекрасное и безобразное, актуальное и старомодное.",62,"Впрочем, им зачастую уже и гость не интересен, он нужен лишь как повод поговорить друг с другом, и не на кухне, а прямо в студии – гость им не мешает.",63-66,Contrast,впрочем,уже и ,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,sent initial,no,межсент,не,2,nd,nd,nd,1,4,-,-,-,,новости
1,2,"##### То есть речь идет отнюдь не о мастер-классе злоязычия, но напротив, если говорить совсем прямо, о том, что","##### То есть речь идет отнюдь не о мастер-классе злоязычия,",74,"но напротив, если говорить совсем прямо, о том, что если кто злословит понапрасну да еще клевещет, непременно вынужден будет сам прикусить язык.",75-78,Contrast,не ... но,"отнюдь, напротив; если говорить прямо",нет,да (злоязычие - злословие),нет,нет,no,no,conjunction,mwu,prim,both,,,discon,межклауз,не,1,nd,nd,nd,1,4,-,-,-,-,новости
3,3,"##### Тем, кто живет в России, трудно представить, как может быть плохо в другом месте. Тем не менее экономика наших соседей идет ко дну. Кредитный кризис уже нанес непоправимый ущерб строительной индустрии.","##### Тем, кто живет в России, трудно представить, как может быть плохо в другом месте.",1,"Тем не менее экономика наших соседей идет ко дну. Кредитный кризис уже нанес непоправимый ущерб строительной индустрии. Отличное время для скупки активов и недвижимости в Европе, если есть деньги, разумеется.",2-5,Contrast,тем не менее,уже,нет,нет,нет,нет,yes,yes,conjunction,mwu,prim,2,clause initial,sent initial,no,межсент,nd,nd,nd,nd,nd,1,4,-,-,,,новости
3,4,"##### Если говорить о строительстве, то в Риге есть замороженные стройки и стоят деревянные дома, от которых в Москве за пять минут не осталось бы щепки – а если бы это был музей, то сделали бы то же самое из двойного бетона,",от которых в Москве за пять минут не осталось бы щепки –,15,"а если бы это был музей, то сделали бы то же самое из двойного бетона,",16-17,Contrast,а,"то же самое, если бы",нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,не,1,nd,nd,nd,1,2,,,,,новости
3,5,"##### По мнению аналитиков из «Деловых вестей» (№ 29 от 11 августа 2008 года), издающихся как приложение к русскоязычной рижской газете «Вести», сдерживающим фактором по отношению к инфляции выступает снижение потребления – однако это ведет к безработице и «остыванию» экономики.",сдерживающим фактором по отношению к инфляции выступает снижение потребления,26,– однако это ведет к безработице и «остыванию» экономики.,27,Contrast,однако,это,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,nd,nd,nd,nd,nd,1,1,,,,,новости
3,6,"Позиция эта действительно заставила прибалтийских политиков внимательнее прислушиваться к мнению восточного соседа, рынки которого являются единственно площадкой для сбыта многих товаров, производимых в Прибалтике. Однако пока все еще политические амбиции здесь превалируют над экономической целесообразностью.","Позиция эта действительно заставила прибалтийских политиков внимательнее прислушиваться к мнению восточного соседа, рынки которого являются единственно площадкой для сбыта многих товаров, производимых в Прибалтике.",92-93,Однако пока все еще политические амбиции здесь превалируют над экономической целесообразностью.,94,Contrast,однако,пока; все еще,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,sent initial,no,межсент,nd,nd,nd,nd,nd,2,1,,,,,новости
4,7,"По плану уже к 2025 году четверть всей электроэнергии, которая потребляется США, должна быть добыта из альтернативных источников. Сейчас в энергобалансе США энергия, полученная от солнца и ветра, составляет всего лишь 2%.","По плану уже к 2025 году четверть всей электроэнергии, которая потребляется США, должна быть добыта из альтернативных источников.",45,"Сейчас в энергобалансе США энергия, полученная от солнца и ветра, составляет всего лишь 2%.",46,Contrast,no marker,,да (по плану... сейчас),нет,да (электроэнергии-энергии),нет,nm,nm,nd,nd,nd,nd,nd,nd,no,межсент,nd,nd,nd,nd,nd,1,1,,,,,новости
5,8,"Общая стоимость помощи — около 100 млрд рублей. Однако налоговые доходы регионов, по данным Минфина, могут снизиться в 2009 году на 700—800 млрд рублей.",Общая стоимость помощи — около 100 млрд рублей.,4,"Однако налоговые доходы регионов, по данным Минфина, могут снизиться в 2009 году на 700—800 млрд рублей.",5-7,Contrast,однако,-,нет,нет,да (млрд рублей),нет,no,yes,conjunction,w,prim,2,clause initial,sent initial,no,межсент,nd,nd,nd,nd,nd,1,3,,,,,новости
6,9,"##### Страны НАТО превосходили Югославию по суммарному экономическому потенциалу в 700 раз (а военные потенциалы были просто несопоставимы) , однако через 2,5 месяца войны были на пределе возможностей!",Страны НАТО превосходили Югославию по суммарному экономическому потенциалу в 700 раз (а военные потенциалы были просто несопоставимы),109-110,", однако через 2,5 месяца войны были на пределе возможностей!",111,Contrast,однако,-,нет,нет,нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,nd,nd,nd,nd,nd,2,1,,,,,новости
6,10,"Они практически не понесли потерь в ходе войны, однако их материальные расходы на эту войну оказались почти такими же, какой ущерб они нанесли Югославии.","Они практически не понесли потерь в ходе войны,",112,"однако их материальные расходы на эту войну оказались почти такими же, какой ущерб они нанесли Югославии.",113-114,Contrast,однако,же,нет,да (потери-расходы),нет,нет,no,yes,conjunction,w,prim,2,clause initial,no,no,межклауз,не,1,nd,nd,nd,1,2,,,,,новости
