контекст,snippet_x,snippet_y,category_id,маркер
"Определение С. В. Гринева является примером лаконичной и емкой характеристики термина, для него «термин - это номинативная специальная лексическая единица специального языка, применяемая для точного наименования специальных понятий» [1, с. 33]. В. М. Лейчик давал следующее определение термину: «Термин -лексическая единица определенного языка для специальных целей, обозначающая общее - конкретное или абстрактное - понятие теории определенной специальной области знаний или деятельности» [2, с. 32].","Определение С. В. Гринева является примером лаконичной и емкой характеристики термина, для него «термин - это номинативная специальная лексическая единица специального языка, применяемая для точного наименования специальных понятий» [1, с. 33].","В. М. Лейчик давал следующее определение термину: «Термин -лексическая единица определенного языка для специальных целей, обозначающая общее - конкретное или абстрактное - понятие теории определенной специальной области знаний или деятельности» [2, с. 32].",comparison_m,
"Так, например, слова: referee I судья или basket I корзина являются полностью соотнесенными терминами, так как они дают единственное возможное значение в специальном языке спортивного комментария, в то время как flank I фланг на поле, draw I сыграть вничью или steal I перехват, являясь полисемантичными словами, предоставляют возможность выбора [4].","Так, например, слова: referee I судья или basket I корзина являются полностью соотнесенными терминами, так как они дают единственное возможное значение в специальном языке спортивного комментария,","в то время как flank I фланг на поле, draw I сыграть вничью или steal I перехват, являясь полисемантичными словами, предоставляют возможность выбора [4].",comparison_m,в то время как
"Второй вариант перевода: Eine Fliege - klein und rege Mit 'nem guldern glanzend Bauch, Fand ganz unvermittelt auf dem Wege Eine Mnze und hob sie auf. Первый вариант перевода: Es fliegt die Fliege Suse Sum Voll Neugier in der Luft herum. Sie sieht was glnzen dort im Feld Und hebt es auf - das ist ja Geld! [9, S. 3].","Второй вариант перевода: Eine Fliege - klein und rege Mit 'nem guldern glanzend Bauch, Fand ganz unvermittelt auf dem Wege Eine Mnze und hob sie auf.","Первый вариант перевода: Es fliegt die Fliege Suse Sum Voll Neugier in der Luft herum. Sie sieht was glnzen dort im Feld Und hebt es auf - das ist ja Geld! [9, S. 3].",comparison_m,первый вариант... второй вариант
"При этом французский переводчик сохранил рифму внутри номинации,  в то время как немецкий переводчик ограничился боле свободной формой, имитирующей производимый насекомым звук.","При этом французский переводчик сохранил рифму внутри номинации, ","в то время как немецкий переводчик ограничился боле свободной формой, имитирующей производимый насекомым звук.",comparison_m,в то время как
"В первом варианте происходит транспозиция образа: позолоченное брюхо становится блестящей денежкой: was glnzen dort im Feld - что-то блестит на поле;  в других вариантах - либо золотым отсветом - aux reflets d'or, либо сверкающим золотом брюшком -guldern glanzendBauch.",В первом варианте происходит транспозиция образа: позолоченное брюхо становится блестящей денежкой: was glnzen dort im Feld - что-то блестит на поле; ,"в других вариантах - либо золотым отсветом - aux reflets d'or, либо сверкающим золотом брюшком -guldern glanzendBauch.",comparison_m,в первом варианте... в других вариантах
"то, что в одной культуре является базовой ценностью,  в другой может оказаться вспомогательной, и наоборот.","то, что в одной культуре является базовой ценностью, ","в другой может оказаться вспомогательной, и наоборот.",comparison_m,в одной... в другой
"Во французском тексте мы отмечаем также наличие большого числа эквивалентных соответствий. Приведем пример: Вдруг откуда ни возьмись Маленький комарик А в руке его горит Маленький фонарик [8, с. 5]. Tout coup, apparait dans l'air Un moustique; Le sabre au ct, il a l'air Hroque... [10, p. 6]. Мы констатируем, что в тексте перевода минимальное количество словарных соответствий. В результате межъязыковых трансформаций переводчик заменил фонарик саблей, а сам комарик в переводе назван героическим. Комар предстает героем и в немецком варианте сказки: «Ruhm und Ehre dem Auserwhlten, Dem Brutigam, dem Mckenhelden!» [9, S. 10]. Переводчик сохранил общий тон фрагмента - неожиданное появление комара, летящего навстречу Мухе-Цокотухе и спасающего ее.","Во французском тексте мы отмечаем также наличие большого числа эквивалентных соответствий. Приведем пример: Вдруг откуда ни возьмись Маленький комарик А в руке его горит Маленький фонарик [8, с. 5]. Tout coup, apparait dans l'air Un moustique; Le sabre au ct, il a l'air Hroque... [10, p. 6]. Мы констатируем, что в тексте перевода минимальное количество словарных соответствий. В результате межъязыковых трансформаций переводчик заменил фонарик саблей, а сам комарик в переводе назван героическим.","Комар предстает героем и в немецком варианте сказки: «Ruhm und Ehre dem Auserwhlten, Dem Brutigam, dem Mckenhelden!» [9, S. 10]. Переводчик сохранил общий тон фрагмента - неожиданное появление комара, летящего навстречу Мухе-Цокотухе и спасающего ее.",comparison_m,
"Автор поясняет, что аксиологические ценности принадлежат глубинным структурам, они виртуальны, а идеологические ценности актуализируются в речевой коммуникации.","Автор поясняет, что аксиологические ценности принадлежат глубинным структурам, они виртуальны,",а идеологические ценности актуализируются в речевой коммуникации.,comparison_m,а
"Вьетнамские студенты утверждают, что употребление в речи пословиц и поговорок свойственно в большей мере людям старшего поколения и жителям деревни, занятым коллективным трудом на рисовых полях,  в отличие от русской метафорической, образной речи не только городских улиц, но и российских СМИ.","Вьетнамские студенты утверждают, что употребление в речи пословиц и поговорок свойственно в большей мере людям старшего поколения и жителям деревни, занятым коллективным трудом на рисовых полях, ","в отличие от русской метафорической, образной речи не только городских улиц, но и российских СМИ.",comparison_m,в отличие от
"Пословиц, выражающих даже сходный смысл в русской фразеологии, не обнаружено. Noi dong d nu, chong xu d sai [31] (= В медной кастрюле легко варить, некрасивым мужем легко командовать","Пословиц, выражающих даже сходный смысл в русской фразеологии, не обнаружено.","Noi dong d nu, chong xu d sai [31] (= В медной кастрюле легко варить, некрасивым мужем легко командовать",comparison_m,сходный
